wl,n,wl,k
0.5,1.337043532,0.5,1.89E-09
0.511,1.336474175,0.501,2.01E-09
0.522,1.335938261,0.502,1.88E-09
0.533,1.33543281,0.503,1.96E-09
0.544,1.334955158,0.504,1.90E-09
0.555,1.334502915,0.505,1.82E-09
0.566,1.334073936,0.506,1.91E-09
0.577,1.333666289,0.507,2.08E-09
0.588,1.333278227,0.508,2.10E-09
0.599,1.332908172,0.509,2.24E-09
0.61,1.332554692,0.51,2.32E-09
0.621,1.332216485,0.511,2.33E-09
0.632,1.331892366,0.512,2.46E-09
0.643,1.331581254,0.513,2.51E-09
0.654,1.331282161,0.514,2.41E-09
0.665,1.330994182,0.515,2.47E-09
0.676,1.330716487,0.516,2.48E-09
0.687,1.330448313,0.517,2.54E-09
0.698,1.330188958,0.518,2.53E-09
0.709,1.329937775,0.519,2.56E-09
0.72,1.329694166,0.52,2.64E-09
0.731,1.329457579,0.521,2.62E-09
0.742,1.329227501,0.522,2.69E-09
0.753,1.329003459,0.523,2.66E-09
0.764,1.328785009,0.524,2.49E-09
0.775,1.328571743,0.525,2.55E-09
0.786,1.328363278,0.526,2.65E-09
0.797,1.328159257,0.527,2.49E-09
0.808,1.327959346,0.528,2.58E-09
0.819,1.327763235,0.529,2.74E-09
0.83,1.32757063,0.53,2.70E-09
0.841,1.327381258,0.531,2.70E-09
0.852,1.327194861,0.532,2.65E-09
0.863,1.327011196,0.533,2.93E-09
0.874,1.326830037,0.534,2.70E-09
0.885,1.326651166,0.535,2.75E-09
0.896,1.326474381,0.536,2.84E-09
0.907,1.32629949,0.537,2.67E-09
0.918,1.32612631,0.538,2.74E-09
0.929,1.325954668,0.539,2.80E-09
0.94,1.3257844,0.54,2.90E-09
0.951,1.325615349,0.541,2.91E-09
0.962,1.325447368,0.542,2.87E-09
0.973,1.325280312,0.543,3.02E-09
0.984,1.325114048,0.544,3.26E-09
0.995,1.324948445,0.545,3.36E-09
1.006,1.324783377,0.546,3.20E-09
1.017,1.324618727,0.547,3.43E-09
1.028,1.324454378,0.548,3.47E-09
1.039,1.324290221,0.549,3.65E-09
1.05,1.324126148,0.55,3.79E-09
1.061,1.323962057,0.551,3.66E-09
1.072,1.323797847,0.552,3.68E-09
1.083,1.323633421,0.553,3.62E-09
1.094,1.323468687,0.554,3.67E-09
1.105,1.323303553,0.555,3.73E-09
1.116,1.32313793,0.556,3.77E-09
1.127,1.322971731,0.557,3.77E-09
1.138,1.322804872,0.558,3.93E-09
1.149,1.322637269,0.559,3.79E-09
1.16,1.322468842,0.56,3.91E-09
1.171,1.32229951,0.561,3.86E-09
1.182,1.322129196,0.562,3.94E-09
1.193,1.321957821,0.563,3.90E-09
1.204,1.32178531,0.564,3.93E-09
1.215,1.321611587,0.565,4.04E-09
1.226,1.321436578,0.566,3.86E-09
1.237,1.321260208,0.567,4.02E-09
1.248,1.321082403,0.568,4.17E-09
1.259,1.320903091,0.569,4.23E-09
1.27,1.3207222,0.57,4.27E-09
1.281,1.320539655,0.571,4.28E-09
1.292,1.320355385,0.572,4.39E-09
1.303,1.320169316,0.573,4.53E-09
1.314,1.319981377,0.574,4.66E-09
1.325,1.319791495,0.575,4.76E-09
1.336,1.319599595,0.576,4.81E-09
1.347,1.319405604,0.577,5.00E-09
1.358,1.319209448,0.578,4.97E-09
1.369,1.319011052,0.579,5.16E-09
1.38,1.31881034,0.58,5.40E-09
1.391,1.318607236,0.581,5.64E-09
1.402,1.318401664,0.582,5.88E-09
1.413,1.318193544,0.583,5.98E-09
1.424,1.317982797,0.584,6.09E-09
1.435,1.317769342,0.585,6.52E-09
1.446,1.317553099,0.586,6.62E-09
1.457,1.317333984,0.587,6.77E-09
1.468,1.317111912,0.588,7.16E-09
1.479,1.316886797,0.589,7.36E-09
1.49,1.316658551,0.59,7.70E-09
1.501,1.316427085,0.591,8.09E-09
1.512,1.316192307,0.592,8.34E-09
1.523,1.315954124,0.593,8.59E-09
1.534,1.315712441,0.594,8.84E-09
1.545,1.315467159,0.595,9.14E-09
1.556,1.315218178,0.596,9.72E-09
1.567,1.314965396,0.597,1.05E-08
1.578,1.314708708,0.598,1.08E-08
1.589,1.314448005,0.599,1.14E-08
1.6,1.314183178,0.6,1.25E-08
,,0.601,1.30E-08
,,0.602,1.32E-08
,,0.603,1.37E-08
,,0.604,1.38E-08
,,0.605,1.40E-08
,,0.606,1.44E-08
,,0.607,1.43E-08
,,0.608,1.44E-08
,,0.609,1.45E-08
,,0.61,1.46E-08
,,0.611,1.47E-08
,,0.612,1.47E-08
,,0.613,1.47E-08
,,0.614,1.49E-08
,,0.615,1.50E-08
,,0.616,1.49E-08
,,0.617,1.51E-08
,,0.618,1.51E-08
,,0.619,1.53E-08
,,0.62,1.53E-08
,,0.621,1.55E-08
,,0.622,1.55E-08
,,0.623,1.57E-08
,,0.624,1.57E-08
,,0.625,1.58E-08
,,0.626,1.59E-08
,,0.627,1.59E-08
,,0.628,1.61E-08
,,0.629,1.63E-08
,,0.63,1.63E-08
,,0.631,1.64E-08
,,0.632,1.65E-08
,,0.633,1.66E-08
,,0.634,1.68E-08
,,0.635,1.68E-08
,,0.636,1.68E-08
,,0.637,1.71E-08
,,0.638,1.72E-08
,,0.639,1.71E-08
,,0.64,1.74E-08
,,0.641,1.73E-08
,,0.642,1.76E-08
,,0.643,1.77E-08
,,0.644,1.78E-08
,,0.645,1.79E-08
,,0.646,1.78E-08
,,0.647,1.82E-08
,,0.648,1.84E-08
,,0.649,1.86E-08
,,0.65,1.87E-08
,,0.651,1.89E-08
,,0.652,1.91E-08
,,0.653,1.94E-08
,,0.654,1.97E-08
,,0.655,2.01E-08
,,0.656,2.03E-08
,,0.657,2.08E-08
,,0.658,2.12E-08
,,0.659,2.13E-08
,,0.66,2.18E-08
,,0.661,2.19E-08
,,0.662,2.20E-08
,,0.663,2.24E-08
,,0.664,2.26E-08
,,0.665,2.26E-08
,,0.666,2.26E-08
,,0.667,2.27E-08
,,0.668,2.29E-08
,,0.669,2.29E-08
,,0.67,2.30E-08
,,0.671,2.30E-08
,,0.672,2.32E-08
,,0.673,2.33E-08
,,0.674,2.32E-08
,,0.675,2.34E-08
,,0.676,2.37E-08
,,0.677,2.38E-08
,,0.678,2.41E-08
,,0.679,2.42E-08
,,0.68,2.44E-08
,,0.681,2.46E-08
,,0.682,2.49E-08
,,0.683,2.51E-08
,,0.684,2.54E-08
,,0.685,2.55E-08
,,0.686,2.57E-08
,,0.687,2.63E-08
,,0.688,2.66E-08
,,0.689,2.71E-08
,,0.69,2.76E-08
,,0.691,2.81E-08
,,0.692,2.85E-08
,,0.693,2.90E-08
,,0.694,2.96E-08
,,0.695,3.03E-08
,,0.696,3.09E-08
,,0.697,3.17E-08
,,0.698,3.24E-08
,,0.699,3.32E-08
,,0.7,3.40E-08
,,0.701,3.50E-08
,,0.702,3.59E-08
,,0.703,3.68E-08
,,0.704,3.78E-08
,,0.705,3.91E-08
,,0.706,4.02E-08
,,0.707,4.15E-08
,,0.708,4.29E-08
,,0.709,4.43E-08
,,0.71,4.60E-08
,,0.711,4.79E-08
,,0.712,4.98E-08
,,0.713,5.17E-08
,,0.714,5.39E-08
,,0.715,5.61E-08
,,0.716,5.87E-08
,,0.717,6.16E-08
,,0.718,6.46E-08
,,0.719,6.69E-08
,,0.72,6.99E-08
,,0.721,7.29E-08
,,0.722,7.64E-08
,,0.723,7.94E-08
,,0.724,8.35E-08
,,0.725,8.71E-08
,,0.726,9.13E-08
,,0.727,9.55E-08
,,0.728,1.01E-07
,,0.729,1.06E-07
,,0.73,1.12E-07
,,0.731,1.18E-07
,,0.732,1.24E-07
,,0.733,1.31E-07
,,0.734,1.37E-07
,,0.735,1.42E-07
,,0.736,1.46E-07
,,0.737,1.50E-07
,,0.738,1.53E-07
,,0.739,1.56E-07
,,0.74,1.58E-07
,,0.741,1.60E-07
,,0.742,1.61E-07
,,0.743,1.61E-07
,,0.744,1.62E-07
,,0.745,1.63E-07
,,0.746,1.63E-07
,,0.747,1.64E-07
,,0.748,1.64E-07
,,0.749,1.65E-07
,,0.75,1.65E-07
,,0.751,1.65E-07
,,0.752,1.66E-07
,,0.753,1.66E-07
,,0.754,1.66E-07
,,0.755,1.66E-07
,,0.756,1.67E-07
,,0.757,1.67E-07
,,0.758,1.67E-07
,,0.759,1.67E-07
,,0.76,1.67E-07
,,0.761,1.67E-07
,,0.762,1.67E-07
,,0.763,1.68E-07
,,0.764,1.67E-07
,,0.765,1.67E-07
,,0.766,1.67E-07
,,0.767,1.67E-07
,,0.768,1.67E-07
,,0.769,1.66E-07
,,0.77,1.66E-07
,,0.771,1.66E-07
,,0.772,1.65E-07
,,0.773,1.65E-07
,,0.774,1.64E-07
,,0.775,1.63E-07
,,0.776,1.62E-07
,,0.777,1.62E-07
,,0.778,1.61E-07
,,0.779,1.61E-07
,,0.78,1.60E-07
,,0.781,1.58E-07
,,0.782,1.57E-07
,,0.783,1.56E-07
,,0.784,1.55E-07
,,0.785,1.54E-07
,,0.786,1.53E-07
,,0.787,1.52E-07
,,0.788,1.50E-07
,,0.789,1.49E-07
,,0.79,1.48E-07
,,0.791,1.47E-07
,,0.792,1.46E-07
,,0.793,1.45E-07
,,0.794,1.43E-07
,,0.795,1.42E-07
,,0.796,1.41E-07
,,0.797,1.40E-07
,,0.798,1.39E-07
,,0.799,1.38E-07
,,0.8,1.38E-07
,,0.801,1.36E-07
,,0.802,1.36E-07
,,0.803,1.35E-07
,,0.804,1.35E-07
,,0.805,1.35E-07
,,0.806,1.34E-07
,,0.807,1.34E-07
,,0.808,1.34E-07
,,0.809,1.35E-07
,,0.81,1.35E-07
,,0.811,1.36E-07
,,0.812,1.36E-07
,,0.813,1.37E-07
,,0.814,1.38E-07
,,0.815,1.39E-07
,,0.816,1.41E-07
,,0.817,1.42E-07
,,0.818,1.44E-07
,,0.819,1.46E-07
,,0.82,1.49E-07
,,0.821,1.52E-07
,,0.822,1.54E-07
,,0.823,1.58E-07
,,0.824,1.63E-07
,,0.825,1.69E-07
,,0.826,1.76E-07
,,0.827,1.83E-07
,,0.828,1.90E-07
,,0.829,1.99E-07
,,0.83,2.07E-07
,,0.831,2.15E-07
,,0.832,2.22E-07
,,0.833,2.29E-07
,,0.834,2.36E-07
,,0.835,2.41E-07
,,0.836,2.45E-07
,,0.837,2.48E-07
,,0.838,2.51E-07
,,0.839,2.54E-07
,,0.84,2.57E-07
,,0.841,2.59E-07
,,0.842,2.61E-07
,,0.843,2.64E-07
,,0.844,2.66E-07
,,0.845,2.68E-07
,,0.846,2.71E-07
,,0.847,2.73E-07
,,0.848,2.75E-07
,,0.849,2.78E-07
,,0.85,2.80E-07
,,0.851,2.82E-07
,,0.852,2.85E-07
,,0.853,2.86E-07
,,0.854,2.89E-07
,,0.855,2.91E-07
,,0.856,2.94E-07
,,0.857,2.96E-07
,,0.858,2.98E-07
,,0.859,3.00E-07
,,0.86,3.02E-07
,,0.861,3.04E-07
,,0.862,3.07E-07
,,0.863,3.09E-07
,,0.864,3.11E-07
,,0.865,3.14E-07
,,0.866,3.16E-07
,,0.867,3.19E-07
,,0.868,3.22E-07
,,0.869,3.25E-07
,,0.87,3.28E-07
,,0.871,3.31E-07
,,0.872,3.34E-07
,,0.873,3.38E-07
,,0.874,3.41E-07
,,0.875,3.45E-07
,,0.876,3.49E-07
,,0.877,3.53E-07
,,0.878,3.57E-07
,,0.879,3.62E-07
,,0.88,3.66E-07
,,0.881,3.70E-07
,,0.882,3.75E-07
,,0.883,3.79E-07
,,0.884,3.83E-07
,,0.885,3.88E-07
,,0.886,3.93E-07
,,0.887,3.97E-07
,,0.888,4.01E-07
,,0.889,4.06E-07
,,0.89,4.11E-07
,,0.891,4.15E-07
,,0.892,4.20E-07
,,0.893,4.24E-07
,,0.894,4.28E-07
,,0.895,4.32E-07
,,0.896,4.37E-07
,,0.897,4.42E-07
,,0.898,4.46E-07
,,0.899,4.51E-07
,,0.9,4.56E-07
,,0.901,4.60E-07
,,0.902,4.65E-07
,,0.903,4.71E-07
,,0.904,4.76E-07
,,0.905,4.81E-07
,,0.906,4.87E-07
,,0.907,4.93E-07
,,0.908,4.99E-07
,,0.909,5.06E-07
,,0.91,5.13E-07
,,0.911,5.21E-07
,,0.912,5.29E-07
,,0.913,5.38E-07
,,0.914,5.48E-07
,,0.915,5.58E-07
,,0.916,5.70E-07
,,0.917,5.93E-07
,,0.918,6.06E-07
,,0.919,6.22E-07
,,0.92,6.38E-07
,,0.921,6.57E-07
,,0.922,6.80E-07
,,0.923,7.02E-07
,,0.924,7.27E-07
,,0.925,7.51E-07
,,0.926,7.81E-07
,,0.927,8.11E-07
,,0.928,8.49E-07
,,0.929,8.80E-07
,,0.93,9.18E-07
,,0.931,9.63E-07
,,0.932,1.00E-06
,,0.933,1.05E-06
,,0.934,1.09E-06
,,0.935,1.14E-06
,,0.936,1.18E-06
,,0.937,1.24E-06
,,0.938,1.29E-06
,,0.939,1.35E-06
,,0.94,1.41E-06
,,0.941,1.47E-06
,,0.942,1.53E-06
,,0.943,1.60E-06
,,0.944,1.67E-06
,,0.945,1.74E-06
,,0.946,1.82E-06
,,0.947,1.91E-06
,,0.948,2.00E-06
,,0.949,2.10E-06
,,0.95,2.21E-06
,,0.951,2.32E-06
,,0.952,2.45E-06
,,0.953,2.57E-06
,,0.954,2.70E-06
,,0.955,2.82E-06
,,0.956,2.94E-06
,,0.957,3.05E-06
,,0.958,3.16E-06
,,0.959,3.24E-06
,,0.96,3.32E-06
,,0.961,3.38E-06
,,0.962,3.43E-06
,,0.963,3.47E-06
,,0.964,3.51E-06
,,0.965,3.54E-06
,,0.966,3.56E-06
,,0.967,3.59E-06
,,0.968,3.61E-06
,,0.969,3.62E-06
,,0.97,3.64E-06
,,0.971,3.65E-06
,,0.972,3.67E-06
,,0.973,3.68E-06
,,0.974,3.69E-06
,,0.975,3.69E-06
,,0.976,3.70E-06
,,0.977,3.70E-06
,,0.978,3.70E-06
,,0.979,3.69E-06
,,0.98,3.69E-06
,,0.981,3.68E-06
,,0.982,3.67E-06
,,0.983,3.65E-06
,,0.984,3.64E-06
,,0.985,3.62E-06
,,0.986,3.60E-06
,,0.987,3.58E-06
,,0.988,3.56E-06
,,0.989,3.53E-06
,,0.99,3.51E-06
,,0.991,3.49E-06
,,0.992,3.46E-06
,,0.993,3.43E-06
,,0.994,3.40E-06
,,0.995,3.37E-06
,,0.996,3.33E-06
,,0.997,3.30E-06
,,0.998,3.26E-06
,,0.999,3.23E-06
,,1,3.19E-06
,,1.001,3.15E-06
,,1.002,3.12E-06
,,1.003,3.08E-06
,,1.004,3.04E-06
,,1.005,3.01E-06
,,1.006,2.96E-06
,,1.007,2.92E-06
,,1.008,2.88E-06
,,1.009,2.84E-06
,,1.01,2.80E-06
,,1.011,2.76E-06
,,1.012,2.71E-06
,,1.013,2.67E-06
,,1.014,2.63E-06
,,1.015,2.58E-06
,,1.016,2.54E-06
,,1.017,2.50E-06
,,1.018,2.45E-06
,,1.019,2.41E-06
,,1.02,2.37E-06
,,1.021,2.32E-06
,,1.022,2.29E-06
,,1.023,2.24E-06
,,1.024,2.20E-06
,,1.025,2.16E-06
,,1.026,2.12E-06
,,1.027,2.08E-06
,,1.028,2.04E-06
,,1.029,2.00E-06
,,1.03,1.97E-06
,,1.031,1.93E-06
,,1.032,1.89E-06
,,1.033,1.86E-06
,,1.034,1.82E-06
,,1.035,1.79E-06
,,1.036,1.76E-06
,,1.037,1.72E-06
,,1.038,1.69E-06
,,1.039,1.66E-06
,,1.04,1.63E-06
,,1.041,1.61E-06
,,1.042,1.58E-06
,,1.043,1.55E-06
,,1.044,1.53E-06
,,1.045,1.51E-06
,,1.046,1.48E-06
,,1.047,1.46E-06
,,1.048,1.43E-06
,,1.049,1.41E-06
